x,y,CD
-47.14779,-113.6132,190.7
-21.99781,-113.5656,190.5
3.152197,-113.518,189.8
28.3022,-113.4704,184.3
53.45226,-113.4228,180.8
-97.50902,-81.40839,174.2
-72.35901,-81.36077,182.7
-47.20898,-81.31318,195
-22.05898,-81.26559,191.7
3.091048,-81.21799,188.6
28.24108,-81.17039,191.8
53.39111,-81.1228,187
78.54115,-81.0752,189.1
103.6911,-81.02762,173.8
-122.7202,-49.15599,178
-97.57015,-49.10836,186.5
-72.4201,-49.06075,189.4
-47.27011,-49.01316,194.9
-22.12009,-48.96558,189.9
3.029932,-48.91795,190.1
28.17996,-48.87039,186.3
53.32994,-48.82276,184
78.48,-48.7752,189.9
103.63,-48.72759,183.9
-122.7812,-16.85592,186.8
-97.6312,-16.80833,193.4
-72.4812,-16.76073,185.7
-47.33119,-16.71318,185.9
-22.18115,-16.66554,190.5
2.96885,-16.61796,185.9
28.11889,-16.57037,194.4
53.26891,-16.52277,179.9
78.41892,-16.47517,189.3
103.5689,-16.42758,188.2
128.719,-16.37998,173.9
-122.8424,15.44408,187.2
-97.69234,15.49166,184.8
-72.54232,15.53925,188.5
-47.39232,15.58683,195.8
-22.24228,15.63444,191.6
2.907759,15.68205,187.1
28.05778,15.72964,193.8
53.20779,15.77725,177.3
78.3578,15.82485,188.9
103.5078,15.87243,187.8
128.6578,15.92002,174.3
-122.9035,47.74406,179.2
-97.75346,47.79166,181.3
-72.60343,47.83927,179.6
-47.4534,47.88684,188.2
-22.30342,47.93446,189.9
2.846613,47.98202,196.6
27.99664,48.02965,187.4
53.14668,48.07723,190.2
78.29669,48.12484,192.6
103.4467,48.17241,185
-97.81459,80.09169,185.7
-72.66454,80.13927,190.5
-47.51455,80.18687,177.4
-22.36452,80.23444,182.1
2.785503,80.28206,182.4
27.93551,80.32967,192.7
53.08554,80.37726,186.3
78.23557,80.42484,187.1
103.3856,80.47235,174.6
-47.57562,112.4869,188.9
-22.42562,112.5345,186.9
2.724428,112.5821,184
27.87441,112.6296,180.9
53.02446,112.6772,185
